taskSetId	size	caseIndex	machines	setupType	scaleLevel	scale	instance	sourceFile	averageProcessing
n020-set01	20	1	2	random	base	1	data/n020-set01/random/base-g1/m2.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	3	random	base	1	data/n020-set01/random/base-g1/m3.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	4	random	base	1	data/n020-set01/random/base-g1/m4.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	2	random	medium	12	data/n020-set01/random/medium-g12/m2.dat	data/40-1/wet040_024.dat	621.600000000
n020-set01	20	1	3	random	medium	12	data/n020-set01/random/medium-g12/m3.dat	data/40-1/wet040_024.dat	621.600000000
n020-set01	20	1	4	random	medium	12	data/n020-set01/random/medium-g12/m4.dat	data/40-1/wet040_024.dat	621.600000000
n020-set01	20	1	2	random	high	22	data/n020-set01/random/high-g22/m2.dat	data/40-1/wet040_024.dat	1139.600000000
n020-set01	20	1	3	random	high	22	data/n020-set01/random/high-g22/m3.dat	data/40-1/wet040_024.dat	1139.600000000
n020-set01	20	1	4	random	high	22	data/n020-set01/random/high-g22/m4.dat	data/40-1/wet040_024.dat	1139.600000000
n020-set01	20	1	2	family	base	1	data/n020-set01/family/base-g1/m2.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	3	family	base	1	data/n020-set01/family/base-g1/m3.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	4	family	base	1	data/n020-set01/family/base-g1/m4.dat	data/40-1/wet040_024.dat	51.800000000
n020-set01	20	1	2	family	medium	12	data/n020-set01/family/medium-g12/m2.dat	data/40-1/wet040_024.dat	621.600000000
n020-set01	20	1	3	family	medium	12	data/n020-set01/family/medium-g12/m3.dat	data/40-1/wet040_024.dat	621.600000000
n020-set01	20	1	4	family	medium	12	data/n020-set01/family/medium-g12/m4.dat	data/40-1/wet040_024.dat	621.600000000
n020-set01	20	1	2	family	high	22	data/n020-set01/family/high-g22/m2.dat	data/40-1/wet040_024.dat	1139.600000000
n020-set01	20	1	3	family	high	22	data/n020-set01/family/high-g22/m3.dat	data/40-1/wet040_024.dat	1139.600000000
n020-set01	20	1	4	family	high	22	data/n020-set01/family/high-g22/m4.dat	data/40-1/wet040_024.dat	1139.600000000
n020-set02	20	2	2	random	base	1	data/n020-set02/random/base-g1/m2.dat	data/40-1/wet040_069.dat	55.750000000
n020-set02	20	2	3	random	base	1	data/n020-set02/random/base-g1/m3.dat	data/40-1/wet040_069.dat	55.750000000
n020-set02	20	2	4	random	base	1	data/n020-set02/random/base-g1/m4.dat	data/40-1/wet040_069.dat	55.750000000
n020-set02	20	2	2	random	medium	15	data/n020-set02/random/medium-g15/m2.dat	data/40-1/wet040_069.dat	836.250000000
n020-set02	20	2	3	random	medium	15	data/n020-set02/random/medium-g15/m3.dat	data/40-1/wet040_069.dat	836.250000000
n020-set02	20	2	4	random	medium	15	data/n020-set02/random/medium-g15/m4.dat	data/40-1/wet040_069.dat	836.250000000
n020-set02	20	2	2	random	high	25	data/n020-set02/random/high-g25/m2.dat	data/40-1/wet040_069.dat	1393.750000000
n020-set02	20	2	3	random	high	25	data/n020-set02/random/high-g25/m3.dat	data/40-1/wet040_069.dat	1393.750000000
n020-set02	20	2	4	random	high	25	data/n020-set02/random/high-g25/m4.dat	data/40-1/wet040_069.dat	1393.750000000
n020-set02	20	2	2	family	base	1	data/n020-set02/family/base-g1/m2.dat	data/40-1/wet040_069.dat	55.750000000
n020-set02	20	2	3	family	base	1	data/n020-set02/family/base-g1/m3.dat	data/40-1/wet040_069.dat	55.750000000
n020-set02	20	2	4	family	base	1	data/n020-set02/family/base-g1/m4.dat	data/40-1/wet040_069.dat	55.750000000
n020-set02	20	2	2	family	medium	15	data/n020-set02/family/medium-g15/m2.dat	data/40-1/wet040_069.dat	836.250000000
n020-set02	20	2	3	family	medium	15	data/n020-set02/family/medium-g15/m3.dat	data/40-1/wet040_069.dat	836.250000000
n020-set02	20	2	4	family	medium	15	data/n020-set02/family/medium-g15/m4.dat	data/40-1/wet040_069.dat	836.250000000
n020-set02	20	2	2	family	high	25	data/n020-set02/family/high-g25/m2.dat	data/40-1/wet040_069.dat	1393.750000000
n020-set02	20	2	3	family	high	25	data/n020-set02/family/high-g25/m3.dat	data/40-1/wet040_069.dat	1393.750000000
